date,startup,vertical,subvertical,location,investor,investment_type,amount,month,year
01-09-2020,Byju's,Ed-Tech,E-learning,Bangalore,Tiger Global Management,Private Equity,1630.4,9,2020
13-01-2020,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity LLC,Series C,65.611,1,2020
01-09-2020,MamaEarth,eCommerce,Retailer of baby and toddler products,Bangalore,Sequoia Capital,Series B,149.661,9,2020
01-02-2020,wealthbucket.in,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-Series A,24.456,2,2020
01-02-2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,14.674,2,2020
13-01-2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures (formerly IDG Ventures),Series A,73.368,1,2020
01-10-2020,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity,1222.8,10,2020
12-12-2019,Ecozen,Technology,Agri-tech,Pune,Sathguru Catalyzer Advisors,Series A,48.912,12,2019
12-06-2019,CarDekho,eCommerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,570.64,6,2019
12-03-2019,Dhruva Space,Aerospace,Satellite Communication,Bangalore,Mumbai Angels,Seed,407.6,3,2019
12-03-2019,Dhruva Space,Aerospace,Satellite Communication,Bangalore,Ravikanth Reddy,Seed,407.6,3,2019
13-12-2019,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,SAIF Partners,Series F,163.04,12,2019
13-12-2019,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,Spring Canter Investment Ltd.,Series F,163.04,12,2019
17-12-2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,Paytm,Series C,97.824,12,2019
17-12-2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,NPTK,Series C,97.824,12,2019
17-12-2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,Sabre Partners,Series C,97.824,12,2019
17-12-2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,Neoplux,Series C,97.824,12,2019
16-12-2019,Licious,eCommerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,244.56,12,2019
14-12-2019,Trell,Video,Experience Discovery Platform,Bangalore,Ruizheng Investment,Seed Round,16.304,12,2019
12-11-2019,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education,Seed Round,407.6,11,2019
12-11-2019,Rein Games,Gaming,Real money based gaming startup,Noida,Medical Group (MEMG),Seed Round,407.6,11,2019
20-12-2019,Lenskart.com,eCommerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,1883.112,12,2019
13-11-2019,Freshworks,Software,Business and customer engagement tools,San Francisco,Sequoia Capital,Series H,1222.8,11,2019
13-11-2019,Freshworks,Software,Business and customer engagement tools,San Francisco,CapitalG,Series H,1222.8,11,2019
13-11-2019,Freshworks,Software,Business and customer engagement tools,San Francisco,Accel Partners,Series H,1222.8,11,2019
14-11-2019,Misters,Health and Wellness,Men's Health and Wellness brand,Gurgaon,Sauce.vc,Series B,3.962,11,2019
14-11-2019,Misters,Health and Wellness,Men's Health and Wellness brand,Gurgaon,Rainforest Ventures,Series B,3.962,11,2019
13-11-2019,Sunstone Eduversity Pvt. Ltd,Education,E-learning,Gurgaon,Prime Venture Partners,Seed,12.228,11,2019
13-11-2019,Sunstone Eduversity Pvt. Ltd,Education,E-learning,Gurgaon,LetsVenture Angel Fund,Seed,12.228,11,2019
13-11-2019,Sunstone Eduversity Pvt. Ltd,Education,E-learning,Gurgaon,PS1 Venture,Seed,12.228,11,2019
13-11-2019,Sunstone Eduversity Pvt. Ltd,Education,E-learning,Gurgaon,GlobalLogic co-founder Rajul Garg,Seed,12.228,11,2019
17-11-2019,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,0,11,2019
18-11-2019,Healthians,Health and Wellness,Healthcare services,Gurgaon,DG Daiwa Ventures,Series B,97.824,11,2019
18-11-2019,Healthians,Health and Wellness,Healthcare services,Gurgaon,DG Incubation,Series B,97.824,11,2019
15-11-2019,Ninjacart,B2B Marketing,Agri-tech,Bangalore,Trifecta Capital Advisors LLP,Debt Funding,211.952,11,2019
20-11-2019,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,141.937,11,2019
11-12-2019,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,10.598,12,2019
20-11-2019,Clumio,SaaS,Recovery software,San Jose,Altimeter Capital,Series C,1100.52,11,2019
20-11-2019,Clumio,SaaS,Recovery software,San Jose,Sutter Hill Ventures,Series C,1100.52,11,2019
11-11-2019,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,2.446,11,2019
19-11-2019,Digital Mall Asia,eCommerce,Virtual e-commerce platform,New Delhi,Amour Infrastructure,Seed Funding,1793.44,11,2019
18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Ackermans,Series B,128.802,11,2019
18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,van Haaren,Series B,128.802,11,2019
18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,HealthQuad Advisors Private Limited,Series B,128.802,11,2019
18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Rebright Partners,Series B,128.802,11,2019
18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Toppan Printing,Series B,128.802,11,2019
15-11-2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,Matrix Partners,Series B,2307.016,11,2019
15-11-2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,Stellaris Venture Partners,Series B,2307.016,11,2019
15-11-2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,Kalaari Capital,Series B,2307.016,11,2019
25-11-2019,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,8152,11,2019
10-04-2019,Dunzo,Customer Service,Delivery Service,Bangalore,Lightbox Ventures,Series D,366.84,4,2019
10-02-2019,Udaan,B2B,Business development,Bangalore,Altimeter Capital,Series D,4768.92,2,2019
10-02-2019,Udaan,B2B,Business development,Bangalore,DST Global,Series D,4768.92,2,2019
21-10-2019,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,0,10,2019
09-05-2019,FPL Technologies,FinTech,Financial Services,Pune,Matrix Partners,Maiden Round,36.684,5,2019
09-05-2019,FPL Technologies,FinTech,Financial Services,Pune,Sequoia Capital India,Maiden Round,36.684,5,2019
09-04-2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,26.902,4,2019
09-04-2019,Digital F5,Advertising&MarketingCommunityNetworkingplatform,Digital marketing firm,Mumbai,TIW Private Equity,Private Equity,48.912,4,2019
09-04-2019,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,Pre-Series A,40.76,4,2019
09-04-2019,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,146.736,4,2019
09-04-2019,Myelin Foundry,Information Technology,Deep-technology,Bangalore,Endiya Partners,Seed,8.152,4,2019
09-04-2019,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,81.52,4,2019
09-04-2019,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman,Series C,3668.4,4,2019
09-04-2019,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Company Ltd (BCCL),Series C,3668.4,4,2019
09-03-2019,Vyapar App,Accounting,Mobile-based Accounting Software,Bangalore,India Quotient,Series A,40.76,3,2019
09-03-2019,Vyapar App,Accounting,Mobile-based Accounting Software,Bangalore,Axilor Ventures,Series A,40.76,3,2019
08-01-2019,CarDekho,eCommerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,163.04,1,2019
08-01-2019,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia Capital India,Series A,40.76,1,2019
08-01-2019,Alteria Capital,Finance,VC Funds,Mumbai,Azim Premji,Single Venture,1141.28,1,2019
08-01-2019,Alteria Capital,Finance,VC Funds,Mumbai,Binny Bansal,Single Venture,1141.28,1,2019
08-01-2019,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,310.428,1,2019
08-12-2019,Meesho,eCommerce,Social Commerce,Bangalore,Naspers,Series D,1019,12,2019
13-08-2019,Cars24,eCommerce,Car Retail,Gurgaon,MS Dhoni,Series D,89.672,8,2019
13-08-2019,Uniphore,Customer Service,Conversational AI,Palo Alto,March Capital Partners,Series C,415.752,8,2019
23-08-2019,ZenDrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,301.624,8,2019
23-08-2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bangalore,Rashmi Daga (founder,Seed Round,4.076,8,2019
23-08-2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bangalore,FreshMenu),Seed Round,4.076,8,2019
23-08-2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bangalore,Raveen Sastry (co-founder,Seed Round,4.076,8,2019
23-08-2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bangalore,Myntra),Seed Round,4.076,8,2019
23-08-2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bangalore,Mitesh Shah (finance chief,Seed Round,4.076,8,2019
23-08-2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bangalore,BookMyShow,Seed Round,4.076,8,2019
23-08-2019,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,896.72,8,2019
22-08-2019,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,122.28,8,2019
21-08-2019,HungerBox,Food and Beverage,B2B Foodtech,Bangalore,One97 Communication Ltd,Series C,53.722,8,2019
23-08-2019,AdmitKard,Ed-Tech,University Admissions,Noida,Growth DNA,Seed Round,8.152,8,2019
19-08-2019,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,0,8,2019
19-08-2019,Grofers,eCommerce,Grocery Delivery,Gurgaon,SoftBank Vision Fund,Series F,570.64,8,2019
27-08-2019,Rapido Bike Taxi,Transportation,Bike Taxi,Bangalore,WestBridge Capital,Series B,31792.8,8,2019
07-02-2019,RenewBuy,Finance,Auto Insurance,Gurgaon,Lok Capital,Series B,154.888,2,2019
07-02-2019,RenewBuy,Finance,Auto Insurance,Gurgaon,IIFL Wealth,Series B,154.888,2,2019
07-02-2019,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,20.38,2,2019
07-01-2019,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,1.182,1,2019
07-03-2019,Ola Cabs,Transportation,Cabs,Kormangala,DIG Investment Ab,Series J,8.152,3,2019
07-03-2019,Ola Cabs,Transportation,Cabs,Kormangala,Deshe Holdings,Series J,8.152,3,2019
07-03-2019,Ola Cabs,Transportation,Cabs,Kormangala,Samih Toukan,Series J,8.152,3,2019
07-03-2019,Ola Cabs,Transportation,Cabs,Kormangala,Hussam Khoury,Series J,8.152,3,2019
07-01-2019,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,310.428,1,2019
07-04-2019,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,4.076,4,2019
07-10-2019,Byju's,Ed-Tech,Education,Bangalore,Qatar Investment Authority,Private Equity,1222.8,10,2019
07-11-2019,Moglix,eCommerce,Industrial Tools and Equipments,Singapore,Composite Capital Management,Series D,489.12,11,2019
07-11-2019,Moglix,eCommerce,Industrial Tools and Equipments,Singapore,Sequoia Capital India,Series D,489.12,11,2019
07-11-2019,Moglix,eCommerce,Industrial Tools and Equipments,Singapore,Tiger Global Management,Series D,489.12,11,2019
07-10-2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed Investors,Series B,130.432,10,2019
07-10-2019,Indus OS,Tech,Smartphone Operating System,Andheri,VentureEast,Series B,46.874,10,2019
07-10-2019,HealthAssure,Healthcare,Primary care medical network,Mumbai,Blume Ventures,Series A,20.38,10,2019
07-09-2019,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,8.152,9,2019
07-08-2019,Board Infinity,Ed-Tech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,2.605,8,2019
06-05-2019,NoBroker,eCommerce,Real Estate,Bangalore,General Atlantic,Series C,415.752,5,2019
06-04-2019,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,81.52,4,2019
06-03-2019,Avail Finance,Finance,FinTech,Bangalore,Matrix Partners,Series A,73.368,3,2019
06-04-2019,BharatPe,Finance,FinTech,New Delhi,Insight Venture Partners,Series B,611.4,4,2019
06-04-2019,Recykal,Waste Management Service,Optimization,Hyderabad,Triton Investment Advisors,Pre-Series A,211.952,4,2019
06-04-2019,Recykal,Waste Management Service,Optimization,Hyderabad,Pidilite Industries director Ajay Parekh,Pre-Series A,211.952,4,2019
06-03-2019,Agara Labs,Deep-Tech,Artificial Intelligence,Bangalore,Blume Ventures,Pre-Series A,20.38,3,2019
06-03-2019,Agara Labs,Deep-Tech,Artificial Intelligence,Bangalore,RTP Global,Pre-Series A,20.38,3,2019
06-06-2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,211.952,6,2019
06-06-2019,Pratilipi,Digital Media,E-Books,Bangalore,Qiming Venture Partners,Series B,123.173,6,2019
06-10-2019,Bolo App,Digital Media,Video Platform,Bangalore,Nexus Venture Partners,Seed Funding,3.507,10,2019
06-10-2019,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,126.356,10,2019
06-06-2019,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,423.904,6,2019
06-08-2019,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,29.217,8,2019
06-04-2019,Leegality,Services,Digital Documentation,Mumbai,Mumbai Angels,Series A,27.717,4,2019
06-04-2019,Leegality,Services,Digital Documentation,Bangalore,Mumbai Angels,Series A,27.717,4,2019
05-06-2019,Ola Electric,Transportation,Cabs,Bangalore,Tata Sons,Series A,0,6,2019
05-06-2019,Saahas Zero Waste,Waste Management Service,Optimization,Bangalore,C4D Partners,Venture - Series Unknown,7.081,6,2019
05-05-2019,StyleDotMe,eCommerce,Fashion and Shopping,New Delhi,Indian Angel Network,Bridge Round,0,5,2019
05-05-2019,StyleDotMe,eCommerce,Fashion and Shopping,New Delhi,Other angel investors,Bridge Round,0,5,2019
05-05-2019,StyleDotMe,eCommerce,Fashion and Shopping,New Delhi,Innov8 founder Ritesh Malik,Bridge Round,0,5,2019
05-05-2019,StyleDotMe,eCommerce,Fashion and Shopping,New Delhi,Josh Talks founders Supriya Paul,Bridge Round,0,5,2019
05-05-2019,StyleDotMe,eCommerce,Fashion and Shopping,New Delhi,Shobha Banga,Bridge Round,0,5,2019
05-05-2019,StyleDotMe,eCommerce,Fashion and Shopping,New Delhi,former Hero Corporate president Rohit Chanana,Bridge Round,0,5,2019
05-01-2019,BlackBuck,Transportation,Logistics,Bangalore,Goldman Sachs,Series D,1222.8,1,2019
05-01-2019,BlackBuck,Transportation,Logistics,Bangalore,Silicon Valley-based Accel,Series D,1222.8,1,2019
05-01-2019,BlackBuck,Transportation,Logistics,Bangalore,Wellington Management,Series D,1222.8,1,2019
05-01-2019,BlackBuck,Transportation,Logistics,Bangalore,Sequoia Capital,Series D,1222.8,1,2019
05-01-2019,BlackBuck,Transportation,Logistics,Bangalore,B Capital,Series D,1222.8,1,2019
05-01-2019,BlackBuck,Transportation,Logistics,Bangalore,LightStreet,Series D,1222.8,1,2019
05-01-2019,BlackBuck,Transportation,Logistics,Bangalore,S,Series D,1222.8,1,2019
05-01-2019,BlackBuck,Transportation,Logistics,Bangalore,s Capital,Series D,1222.8,1,2019
05-01-2019,BlackBuck,Transportation,Logistics,Bangalore,International Finance Corporation,Series D,1222.8,1,2019
05-02-2019,Zenoti,SaaS,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,407.6,2,2019
28-05-2019,Ather Energy,Automobile,Electric Vehicle,Bangalore,Sachin Bansal,Series C,415.752,5,2019
28-05-2019,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Venture Fund,Seed Round,1141.28,5,2019
30-05-2019,GlowRoad,eCommerce,Retail,Bangalore,Korea Investment Partners (KIP),Series B,93.748,5,2019
30-05-2019,GlowRoad,eCommerce,Retail,Bangalore,Vertex Ventures Southeast Asia (SEA),Series B,93.748,5,2019
31-05-2019,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,45.651,5,2019
16-04-2019,Kuvera,Finance,Wealth Management,Bangalore,Eight Roads,Series A,366.84,4,2019
04-12-2019,Medlife,eCommerce,Online Medicine,Bangalore,Prasid Uno Family Trust,Private Equity,138.584,12,2019
04-10-2019,Kabadiwala,eCommerce,Waste Management,Bhopal,Unilever,Private Equity,3.511,10,2019
04-10-2019,Kabadiwala,eCommerce,Waste Management,Bhopal,Beehive Capital Advisor,Private Equity,3.511,10,2019
04-10-2019,Kabadiwala,eCommerce,Waste Management,Bhopal,ABCOM Investments,Private Equity,3.511,10,2019
04-10-2019,Kabadiwala,eCommerce,Waste Management,Bhopal,Parekh Marine Transport,Private Equity,3.511,10,2019
13-04-2019,Tripoto,Social Media,Travel,New Delhi,Orchid India,Series B,29.277,4,2019
13-04-2019,Tripoto,Social Media,Travel,New Delhi,Hornbill Orchid India Fund,Series B,29.277,4,2019
13-04-2019,Tripoto,Social Media,Travel,New Delhi,Chiratae Ventures (formerly IDG Ventures),Series B,29.277,4,2019
13-04-2019,Tripoto,Social Media,Travel,New Delhi,3one4 Capital,Series B,29.277,4,2019
13-04-2019,Tripoto,Social Media,Travel,New Delhi,Lasmer NV,Series B,29.277,4,2019
04-12-2019,Azah,Health and Wellness,Organic wellness,Gurgaon,Unnamed angel investors,Seed Funding,1.63,12,2019
04-11-2019,Setu,FinTech,Banking,Bangalore,Lightspeed India Partners,Seed Funding,28.532,11,2019
04-10-2019,Toppr,Ed-Tech,E-learning,Mumbai,Milestone,Debt and Preference capital,51.527,10,2019
04-10-2019,CraftsVilla,eCommerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,19.919,10,2019
04-10-2019,Unacademy,Ed-Tech,E-learning,Bangalore,Kalyan Krishnamurthy,Seed/ Angel Funding,2.503,10,2019
04-11-2019,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,Sequoia Capital India,Series B,211.952,11,2019
04-11-2019,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,Tiger Global Management,Series B,211.952,11,2019
04-11-2019,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,Accel Partners,Series B,211.952,11,2019
19-04-2019,My Healthcare,eCommerce,Software Solutions,Bangalore,Sixth Sense Ventures,Series A,24.456,4,2019
19-04-2019,My Healthcare,eCommerce,Software Solutions,Gurgaon,Sixth Sense Ventures,Series A,24.456,4,2019
19-04-2019,KrazyBee,eCommerce,Lending Platform,Bangalore,BAC Acquisitions,Debt,116.916,4,2019
19-04-2019,KrazyBee,eCommerce,Lending Platform,Bangalore,Unifi AIF,Debt,116.916,4,2019
19-04-2019,KrazyBee,eCommerce,Lending Platform,Bangalore,BRD Securities,Debt,116.916,4,2019
19-04-2019,KrazyBee,eCommerce,Lending Platform,Bangalore,Northern R Capital,Debt,116.916,4,2019
17-04-2019,Shuttl,Transportation,Bus Aggregation,Gurgaon,New Atlantic Ventures,Venture Round,40.76,4,2019
17-04-2019,Increff,Technology,Supply-chain technology solutions,Bangalore,021 Capita,Series A,24.456,4,2019
17-04-2019,Increff,Technology,Supply-chain technology solutions,Bangalore,Binny Bansal,Series A,24.456,4,2019
02-01-2019,FleetX,AI,Logistics,Gurgaon,India Quotient,Pre-Series A,0,1,2019
02-01-2019,FleetX,AI,Logistics,Gurgaon,LetsVenture Angel Fund,Pre-Series A,0,1,2019
02-08-2019,Zilingo,eCommerce,Fashion & Apparel,India,Sequoia Capital,Series D,1842.352,8,2019
02-08-2019,Zilingo,eCommerce,Fashion & Apparel,Singapore,Sequoia Capital,Series D,1842.352,8,2019
02-08-2019,Zilingo,eCommerce,Fashion & Apparel,India,Temasek Holdings,Series D,1842.352,8,2019
02-08-2019,Zilingo,eCommerce,Fashion & Apparel,Singapore,Temasek Holdings,Series D,1842.352,8,2019
02-08-2019,Zilingo,eCommerce,Fashion & Apparel,India,EDBI,Series D,1842.352,8,2019
02-08-2019,Zilingo,eCommerce,Fashion & Apparel,Singapore,EDBI,Series D,1842.352,8,2019
02-08-2019,Zilingo,eCommerce,Fashion & Apparel,India,Burda Principal Investments,Series D,1842.352,8,2019
02-08-2019,Zilingo,eCommerce,Fashion & Apparel,Singapore,Burda Principal Investments,Series D,1842.352,8,2019
02-08-2019,Zilingo,eCommerce,Fashion & Apparel,India,Sofina,Series D,1842.352,8,2019
02-08-2019,Zilingo,eCommerce,Fashion & Apparel,Singapore,Sofina,Series D,1842.352,8,2019
13-02-2019,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,LetsVenture Angel Fund,Series A,4.891,2,2019
13-02-2019,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,PitchRight Venture,Series A,4.891,2,2019
13-02-2019,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,91SpringBoard,Series A,4.891,2,2019
13-02-2019,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,AL Nour International Holdings,Series A,4.891,2,2019
13-02-2019,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,Mark V Investments,Series A,4.891,2,2019
14-02-2018,OyoRooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,815.2,2,2018
01-03-2019,CarDekho,Automobile,Online Marketplace,Jaipur,Sequoia Capital India,Series C,896.72,3,2019
01-03-2019,CarDekho,Automobile,Online Marketplace,Jaipur,Hillhouse Capital,Series C,896.72,3,2019
01-03-2019,CarDekho,Automobile,Online Marketplace,Jaipur,Alphabet growth investment arm Capital G,Series C,896.72,3,2019
01-03-2019,CarDekho,Automobile,Online Marketplace,Jaipur,Axis Bank,Series C,896.72,3,2019
01-04-2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India,Iron Pillar,Series D,179.344,4,2019
01-04-2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,US,Iron Pillar,Series D,179.344,4,2019
01-04-2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India,Perceptive Advisors,Series D,179.344,4,2019
01-04-2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,US,Perceptive Advisors,Series D,179.344,4,2019
01-04-2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India,Romulus Capital,Series D,179.344,4,2019
01-04-2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,US,Romulus Capital,Series D,179.344,4,2019
01-04-2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India,Kalaari Capital,Series D,179.344,4,2019
01-04-2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,US,Kalaari Capital,Series D,179.344,4,2019
01-04-2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-Banking Financial Company,Chennai,MASSIF,Debt Funding,40.76,4,2019
01-04-2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-Banking Financial Company,Chennai,Dutch government fund,Debt Funding,40.76,4,2019
12-04-2018,Manch,Social Media,Hyperlocal Content,New Delhi,Stellaris Venture Partners,Seed Funding,5.706,4,2018
12-01-2018,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital,Series D,407.6,1,2018
12-01-2018,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Vy Capital,Series D,407.6,1,2018
12-02-2018,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,6.522,2,2018
12-02-2018,Career Anna,Online Education Platform,"Video-based certification, trainings",Gurgaon,Individual Investors,Pre-Series A,4.663,2,2018
12-04-2018,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,1.166,4,2018
12-06-2018,ShopKirana,B2B,eCommerce,Indore,InfoEdge,Seed Funding,16.304,6,2018
12-06-2018,ShopKirana,B2B,eCommerce,Indore,AET Fund,Seed Funding,16.304,6,2018
12-06-2018,ShopKirana,B2B,eCommerce,Indore,Akatsuki,Seed Funding,16.304,6,2018
12-06-2018,ShopKirana,B2B,eCommerce,Indore,Incubate Fund from Japan,Seed Funding,16.304,6,2018
12-06-2018,ShopKirana,B2B,eCommerce,Indore,Better Capital AngelList syndicate.,Seed Funding,16.304,6,2018
12-06-2018,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurgaon,Venture Highway,Series A,28.532,6,2018
12-06-2018,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurgaon,GREE Ventures,Series A,28.532,6,2018
12-06-2018,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurgaon,Space Matrix,Series A,28.532,6,2018
12-06-2018,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurgaon,Individual Investors,Series A,28.532,6,2018
11-01-2018,GoDesi,Food and Beverage,Regional Flavours,Bangalore,Lead Angel Network,Seed/ Angel Funding,1.133,1,2018
11-03-2018,Veritas Finance,NBFC,MSME Finance,Chennai,Norwest Venture Partners,Series D,226.617,3,2018
11-03-2018,Veritas Finance,NBFC,MSME Finance,Chennai,CDC Group Plc,Series D,226.617,3,2018
11-03-2018,Veritas Finance,NBFC,MSME Finance,Chennai,the UK Development Finance Institution,Series D,226.617,3,2018
11-03-2018,Veritas Finance,NBFC,MSME Finance,Chennai,P Surendra Pai,Series D,226.617,3,2018
11-06-2018,Meesho,eCommerce,Social Commerce,Bangalore,Shunwei Capital,Series C,407.6,6,2018
11-06-2018,Meesho,eCommerce,Social Commerce,Bangalore,DST Partners,Series C,407.6,6,2018
11-06-2018,Meesho,eCommerce,Social Commerce,Bangalore,RPS Ventures,Series C,407.6,6,2018
11-08-2018,Mobile Premier League,Gaming,Mobile e-Sports,Bangalore,Undisclosed Investors,Series A,4.076,8,2018
11-08-2018,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,RB Investments,Equity,8.152,8,2018
11-08-2018,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,Singapore based investor,Equity,8.152,8,2018
11-12-2018,BlackBuck,Food Tech,POS For Online Ordering,New York,Tiger Global Management,Series A,8.152,12,2018
11-12-2018,BlackBuck,Food Tech,POS For Online Ordering,Bangalore,Tiger Global Management,Series A,8.152,12,2018
11-12-2018,MilkBasket,Food,Micro-delivery grocery service,New Delhi,Mayfield Ventures,Series B,10.598,12,2018
13-11-2018,DriveU,Transportation,On-Demand Drivers,Bangalore,Stevens Creek Ventures,Mezzanine,8.152,11,2018
14-11-2018,CleanseCar,Services,Car Wash,Bangalore,Venture Catalysts,Seed/ Angel Funding,4.076,11,2018
19-11-2018,Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,2445.6,11,2018
20-11-2018,HealthifyMe,Health and Wellness,Wellness Coach,Bangalore,Sistema Asia Fund,Series B (Extension),48.912,11,2018
